,product_name,price_low,price_high,Battery Capacity,Battery Type,Body Type,Claimed Range,Continious Power,Drive Type,Fast Charging,Fast Charging Time,Gear Box,Gradeability,Kerb Weight,Load Carrying Capacity,Max Torque,Motor IP Rating,Motor Power (w),Motor Type,Motor Warranty,No. Of Batteries,Range (Eco Mode),Range (Normal Mode),Range (Sport Mode),Seat Type,Swappable Battery,Top Speed,Torque (Motor),Torque (Wheel),Transmission,Tyre Size,Water Proof Rating,kwh,V,Ah,kw_calc,Bat Cap
0,Oben Rorr,103000,103000,4.4 kwh,,Electric Bikes,200 km/charge,,Belt Drive,Yes,,,,,,,,1000,IPMSM Motor,3 Years,,,,,Split,,100 kmph,,,Automatic,,IP67,4.4,,,,4.4
1,Tork Kratos,122000,137000,4 kWh,,Electric Bikes,180 km/charge,4500 W,Mid Drive Electric Motor,Yes,,,16Â°,140 kg,150 kg,,IP67,9000,PMAC,,,120 km/charge,100 km/charge,70 km/charge,Split,,105 kmph,38 Nm,,Automatic,"Front :-90/80-17,	Rear :-120/80-17",,4,,,,4
2,Ampere Magnus EX,81900,81900,60 V / 38.25 Ah,Lithium Ion,Electric Bikes,121 km/charge,,Hub Motor,,,,13Â°,82 kg,150 kg,,,2100,BLDC,,,83 km/charge,,,Split,,50 kmph,,,Automatic,,,,60,38.25,2.295,2.295
3,Bounce Infinity E1,47499,96799,1.9 KWh,Lithium Ion,Electric Bikes,85 km/charge,,Hub Motor,,,,,94 kg,,,,1500,BLDC,,1,,,,Single,Yes,65 kmph,85 Nm,,Automatic,"Front :-90/90-12	Rear :-120/70-12",IP67 (Battery),1.9,,,,1.9
4,Hero Electric Optima,67190,85190,51.2 V / 30 Ah,,Electric Bikes,140 km/charge,,Hub Motor,,,,,,,,,1200,,,,,,,Single,,45 kmph,,,,"Front :- 90/90-12,Â 	Rear :-Â 90/90-12",,,51.2,30,1.536,1.536
5,River Indie,125000,125000,4 kWh,Lithium-Ion,Electric Bikes,120 km/charge,,Belt Drive,Yes,,,18Â°,,,,IP67,6700,Mid-Drive PMSM,,,,,,Split,,90 Kmph,26 Nm,,,,IP65,4,,,,4
6,Matter Aera,144000,154000,5 kWh,,"Electric Bikes, Sports Bikes",125 km/charge,,Hub Motor,Yes,2 Hours,4 Speed,,,,,,10000,,,,,,,Single,Yes,,,520 Nm,Manual,,IP67,5,,,,5
7,Ultraviolette F77,380000,550000,10.3 kWh,Lithium-ion,"Electric Bikes, Sports Bikes",307 km/charge,,Chain Drive,Yes,,Single reduction helical gear box,,207 kg,,,,32000,Permanent Magnet AC Motor,,3,261 km/charge,200 km/charge,171 km/charge,Split,Yes,152 kmph,100 Nm,,Automatic,"Front :-110/70-17	Rear :-150/60-17",IP67 ( Battery ),10.3,,,,10.3
8,Simple One,110000,145000,4.8 kWh + 1.6 kWh,Lithium Ion,Electric Bikes,300+ km/charge,4.5 kw,Chain Drive,Yes,,,20Âº,110 kg,,,,8500,,,2,,,,Single,Yes,105 kmph,72 Nm,,Automatic,"Front :- 110/80-12,Â 	Rear :-Â 110/80-12",,6.4,,,,6.4
9,Bajaj Chetak,122000,152000,50.4 V / 60.4 Ah,Lithium Ion,Electric Bikes,90 km/charge,4000 W,Hub Motor,,,,0.25,133 kg,,16.2 Nm @ 1400 rpm,67,4200 W,BLDC,,,90 km/charge,,80 km/charge,Single,,63 kmph,20 Nm,,Automatic,"Front :-90/90-12	Rear :-90/100-12",67,,50.4,60.4,3.04416,3.04416
10,Revolt RV400,125000,125000,3.24 KWh,Lithium-Ion,Electric Bikes,150 km/charge,,Belt Drive,,,,,108 kg,150 kg,170 Nm,,3000,Mid Drive,,,150 km/charge,100 km/charge,80 km/charge,Split,,85 kmph,,,Automatic,"Front 90/80-17,	Rear 120/80-17",,3.24,,,,3.24
11,Ather 450X,119000,142000,3.7 kWh,Lithium-ion,Electric Bikes,146 km/charge,3.3 kW,Belt Drive,Yes,,,20Âº,111.6 kg,,,IP 66,6200,PMSM,,,105 km/charge,85 km/charge,75 km/charge,Single,,"90 kmph (Display), 80 kmph (Actual)",26 Nm,,Automatic,"Front :-90/90-12, 	Rear :-100/80-12",IP67,3.7,,,,3.7
12,TVS iQube Electric,161000,161000,4.56 kwh,Lithium Ion,Electric Bikes,145 km/charge,3 KW,Hub Motor,Yes,2 Hour 50 Min - 80%,,10Â°,128 kg,,,IP67,4400,BLDC,,,145 km/charge,,110 km/charge,Single,,82 kmph,33 Nm,140 Nm,Automatic,"Front :-90/90-12	Rear :-90/90-12",IP67 (Battery),4.56,,,,4.56
13,Ola S1,133000,133000,3 kWh,,Electric Bikes,128 km/charge,5.5 kw,Belt Drive,Yes,,,15Â°,121 kg,,,,8500,Mid Drive IPM,,,141 km/charge,,,Single,,95 kmph,58 Nm,,Automatic,"Front :- 110/70-12,Â 	Rear :-Â 110/70-12",IP67,3,,,,3
14,Vida V1,128000,139000,3.94 kWh,,Electric Bikes,165 km/charge,3.9 kW,Hub Motor,Yes,65 minutes ( 0-80 ),,20Â°,125 kg,,25 Nm,IP68,6000,PMSM,,2,,,,Single,Yes,80 kmph,,,,,IP67 ( Battery ),3.94,,,,3.94
15,Okinawa Okhi90,186000,186000,3.6 kWh,Lithium Ion ( Detachable Battery ),Electric Bikes,160 km/charge,,Hub Motor,,,,12Â°,,250 kg,,IP65,3800,,,,,,,Single,,80-90 kmph,,,Automatic,"Front :-100/80-16	Rear :-120/80",,3.6,,,,3.6
16,Avon E Scoot,45000,45000,48 V/20 Ah,VRLA,Electric Bikes,65 km/charge,,Hub Motor,,,,,,120 Kg,,,215,BLDC,,,,,,Single,,24 kmph,,,Automatic,"Front :-3.00-16,	Rear :-3.00-16",,,48,20,0.96,0.96
17,Kabira Mobility KM 3000,123000,123000,4.0 kWh,Lithium Ion,Electric Bikes,120 km/charge,6000 W,Hub Motor,Yes,0-80 %  50 min,,19Â°,112 kg,100 kg,,IP67,3500,BLDC,,,120 km/charge,95 km/charge,60 km/charge,Split,,100 kmph,,,,,IP65,4,,,,4
