,product_name,price_low,price_high,Bat Cap (kW),Claimed Range (km/charge),Continious Power (W),Gradeability,Kerb Weight (kg),Load Carrying Capacity (kg),Max Torque (N-m),Motor Power (W),No. Of Batteries,Top Speed (kmph),Torque(Motor),Motor Warranty Years,Battery Type,Body Type,Drive Type,Fast Charging,Motor Type,Swappable Battery
0,Oben Rorr,103000,103000,4.4,200,,,,,,1000,,100,,3,,Electric Bikes,Belt Drive,Yes,IPMSM Motor,
1,Tork Kratos,122000,137000,4,180,4500,16,140,150,,9000,,105,38,,,Electric Bikes,Mid Drive Electric Motor,Yes,PMAC,
2,Ampere Magnus EX,81900,81900,2.295,121,,13,82,150,,2100,,50,,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
3,Bounce Infinity E1,47499,96799,1.9,85,,,94,,,1500,1,65,85,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,Yes
4,Hero Electric Optima,67190,85190,1.536,140,,,,,,1200,,45,,,,Electric Bikes,Hub Motor,,,
5,River Indie,125000,125000,4,120,,18,,,,6700,,90,26,,Lithium-Ion,Electric Bikes,Belt Drive,Yes,Mid-Drive PMSM,
6,Matter Aera,144000,154000,5,125,,,,,,10000,,,,,,"Electric Bikes, Sports Bikes",Hub Motor,Yes,,Yes
7,Ultraviolette F77,380000,550000,10.3,307,,,207,,,32000,3,152,100,,Lithium-ion,"Electric Bikes, Sports Bikes",Chain Drive,Yes,Permanent Magnet AC Motor,Yes
8,Simple One,110000,145000,6.4,300,4500,20,110,,,8500,2,105,72,,Lithium Ion,Electric Bikes,Chain Drive,Yes,,Yes
9,Bajaj Chetak,122000,152000,3.04416,90,4000,14,133,,16.2,4200,,63,20,,Lithium Ion,Electric Bikes,Hub Motor,,BLDC,
10,Revolt RV400,125000,125000,3.24,150,,,108,150,170,3000,,85,,,Lithium-Ion,Electric Bikes,Belt Drive,,Mid Drive,
11,Ather 450X,119000,142000,3.7,146,3300,20,111.6,,,6200,,80,26,,Lithium-ion,Electric Bikes,Belt Drive,Yes,PMSM,
12,TVS iQube Electric,161000,161000,4.56,145,3000,10,128,,,4400,,82,33,,Lithium Ion,Electric Bikes,Hub Motor,Yes,BLDC,
13,Ola S1,133000,133000,3,128,5500,15,121,,,8500,,95,58,,,Electric Bikes,Belt Drive,Yes,Mid Drive IPM,
14,Vida V1,128000,139000,3.94,165,3900,20,125,,25,6000,2,80,,,,Electric Bikes,Hub Motor,Yes,PMSM,Yes
15,Okinawa Okhi90,186000,186000,3.6,160,,12,,250,,3800,,90,,,Lithium Ion ( Detachable Battery ),Electric Bikes,Hub Motor,,,
16,Avon E Scoot,45000,45000,0.96,65,,,,120,,215,,24,,,VRLA,Electric Bikes,Hub Motor,,BLDC,
17,Kabira Mobility KM 3000,123000,123000,4,120,6000,19,112,100,,3500,,100,,,Lithium Ion,Electric Bikes,Hub Motor,Yes,BLDC,
18,Avon E Plus,25000,25000,0.576,50,,,,80,,220,,24,,,VRLA,"Electric Bikes, Moped Bikes",Hub Motor,,BLDC,
